"","picID","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12"
"1",0,"A","A","1","1","1","1","1","1","1","1","1",""
"2",1,"A","A","1","1","1","1","1","1","1","1","1",""
"3",2,"A","A","1","1","1","1","1","1","1","1","1",""
"4",3,"A","A","1","1","1","1","1","1","1","1","1",""
"5",4,"A","A","1","1","1","1","1","1","1","1","1",""
"6",5,"A","A","1","1","1","1","1","1","1","1","1",""
"7",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
