"","picID","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12"
"1",3462,"A","A","1","1","1","1","1","1","1","1","1",""
"2",1307,"A","A","1","1","1","1","1","1","1","1","1",""
"3",53,"A","A","1","1","1","1","1","1","1","1","1",""
"4",2278,"A","A","1","1","1","1","1","1","1","1","1",""
"5",3679,"A","A","1","1","1","1","1","1","1","1","1",""
"6",1805,"A","A","1","1","1","1","1","1","1","1","1",""
"7",3436,"A","A","1","1","1","1","1","1","1","1","1",""
"8",4464,"A","A","1","1","1","1","1","1","1","1","1",""
"9",1628,"A","A","1","1","1","1","1","1","1","1","1",""
"10",4597,"A","A","1","1","1","1","1","1","1","1","1",""
"11",217,"A","A","1","1","1","1","1","1","1","1","1",""
"12",4139,"A","A","1","1","1","1","1","1","1","1","1",""
"13",1905,"A","A","1","1","1","1","1","1","1","1","1",""
"14",1791,"A","A","1","1","1","1","1","1","1","1","1",""
"15",767,"A","A","1","1","1","1","1","1","1","1","1",""
"16",244,"A","A","1","1","1","1","1","1","1","1","1",""
"17",260,"A","A","1","1","1","1","1","1","1","1","1",""
"18",3456,"A","A","1","1","1","1","1","1","1","1","1",""
"19",712,"A","A","1","1","1","1","1","1","1","1","1",""
"20",4467,"A","A","1","1","1","1","1","1","1","1","1",""
"21",839,"A","A","1","1","1","1","1","1","1","1","1",""
"22",1143,"A","A","1","1","1","1","1","1","1","1","1",""
"23",1828,"A","A","1","1","1","1","1","1","1","1","1",""
"24",2006,"A","A","1","1","1","1","1","1","1","1","1",""
"25",2253,"A","A","1","1","1","1","1","1","1","1","1",""
"26",204,"A","A","1","1","1","1","1","1","1","1","1",""
"27",912,"A","A","1","1","1","1","1","1","1","1","1",""
